Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN,CCCM_Severity_2017,Education_Severity_2017,Health_Severity_2017,Nutrition_Severity_2017,Protection_Severity_2017,NFI_Severity_2017,Shelter_Severity_2017,WASH_Severity_2017,FS_Severity_2017,ERL_Severity_2017
Al-Hasakeh,Al-Hasakeh,Be'r Al-Hulo Al-Wardeyyeh,2990.00,200.00,200.00,979.00,2071.00,615.94,2990.00,598.00,1196.00,565.00,2990.00,664.00,2990.00,1.00,6.00,2.00,4.00,3.00,3.00,4.00,4.00,4.00,6.00
Tartous,Dreikish,Hamin,6690.00,440.00,440.00,2194.00,4633.00,1679.19,4633.00,669.00,NA,440.00,1045.00,3398.00,4633.00,1.00,3.00,0.00,3.00,1.00,2.00,0.00,3.00,2.00,6.00
Tartous,Banyas,Taleen,6160.00,1160.00,1160.00,2014.00,4266.00,1546.16,4716.00,616.00,1232.00,1160.00,4716.00,3129.00,4716.00,2.00,0.00,0.00,3.00,1.00,2.00,3.00,3.00,4.00,6.00
Lattakia,Al-Haffa,Mzair'a,6690.00,170.00,170.00,2188.00,4633.00,1739.40,4633.00,669.00,669.00,170.00,1873.00,3475.00,4633.00,1.00,6.00,0.00,4.00,1.00,2.00,2.00,3.00,3.00,0.00
Tartous,Safita,Bariqiyeh,6100.00,730.00,730.00,1996.00,4225.00,1531.10,4575.00,610.00,1220.00,730.00,4575.00,3486.00,4575.00,2.00,0.00,0.00,3.00,2.00,2.00,3.00,3.00,4.00,6.00
Lattakia,Al-Qardaha,Harf Elmseitra,4950.00,400.00,400.00,1619.00,3428.00,1287.00,3428.00,495.00,990.00,400.00,2784.00,2571.00,3428.00,1.00,3.00,0.00,4.00,1.00,2.00,3.00,3.00,4.00,0.00
Tartous,Banyas,Tawahin,5980.00,1030.00,1030.00,1955.00,4142.00,1500.98,4142.00,1196.00,2392.00,1030.00,1682.00,3322.00,4142.00,2.00,4.00,0.00,3.00,1.00,3.00,4.00,3.00,4.00,6.00
Lattakia,Lattakia,Bahlawaniyeh,4860.00,120.00,120.00,1594.00,3366.00,1263.60,3366.00,486.00,972.00,120.00,1361.00,2525.00,3366.00,1.00,6.00,0.00,4.00,1.00,2.00,3.00,3.00,3.00,0.00
Lattakia,Al-Haffa,Ein Et-teeneh,3800.00,120.00,120.00,1246.00,2632.00,988.00,2632.00,380.00,380.00,120.00,1283.00,1974.00,2632.00,1.00,5.00,0.00,4.00,1.00,2.00,2.00,3.00,3.00,0.00
Lattakia,Lattakia,Kasab,830.00,380.00,380.00,267.00,575.00,215.80,575.00,332.00,166.00,380.00,239.00,431.00,575.00,5.00,6.00,0.00,4.00,4.00,4.00,3.00,2.00,4.00,0.00
