,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,Education_PiN_2017,Education_Severity_2017
0,Damascus,Damascus,Damascus,1759800.0,651000.0,577153.0,3.0
1,Aleppo,Jebel Saman,Jebel Saman,1333135.0,410900.0,442007.0,5.0
2,Homs,Homs,Homs,721669.0,314358.0,234670.0,3.0
3,Hama,As-Salamiyeh,Oqeirbat,20750.0,1260.0,6705.0,6.0
4,Hama,Hama,Hama,647940.0,130515.0,213147.0,1.0
5,Dar'a,Izra',Tassil,28500.0,7200.0,9361.0,5.0
6,Lattakia,Lattakia,Lattakia,659070.0,350480.0,215423.0,3.0
7,Rural Damascus,Rural Damascus,Jaramana,600000.0,300000.0,204514.0,6.0
8,Idleb,Harim,Dana,342380.0,299710.0,112524.0,6.0
9,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,334490.0,156219.0,118602.0,6.0
10,Rural Damascus,Rural Damascus,Qudsiya,338600.0,125940.0,109712.0,6.0
11,Lattakia,Al-Qardaha,Al-Qardaha,37310.0,2780.0,12154.0,1.0
12,Rural Damascus,At Tall,At Tall,238650.0,196260.0,73004.0,5.0
13,Deir-ez-Zor,Deir-ez-Zor,Deir-ez-Zor,142680.0,54320.0,46983.0,6.0
14,Rural Damascus,Qatana,Qatana,314740.0,175780.0,103972.0,4.0
15,Tartous,Sheikh Badr,Baramanet Elmashayekh,14380.0,3070.0,4742.0,2.0
16,Rural Damascus,Al Qutayfah,Raheiba,35000.0,6872.0,11420.0,6.0
17,Idleb,Idleb,Idleb,120520.0,49850.0,40239.0,4.0
18,As-Sweida,Shahba,Ariqa,10530.0,2030.0,3456.0,2.0
19,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,214010.0,112265.0,71787.0,6.0
20,Aleppo,A'zaz,A'zaz,212975.0,166563.0,72582.0,6.0
21,Rural Damascus,Rural Damascus,Babella,175800.0,27820.0,60515.0,4.0
22,Tartous,Tartous,Tartous,251930.0,90170.0,81745.0,2.0
23,Aleppo,Menbij,Menbij,204048.0,54729.0,67340.0,6.0
24,Dar'a,Dar'a,Dar'a,174400.0,58650.0,57853.0,5.0
25,Rural Damascus,Duma,Duma,195900.0,40720.0,65064.0,6.0
26,Rural Damascus,Rural Damascus,Kisweh,204241.0,73135.0,66735.0,2.0
27,Aleppo,Jebel Saman,Atareb,145350.0,61175.0,47417.0,6.0
28,Rural Damascus,Rural Damascus,Kafr Batna,132040.0,52890.0,42884.0,6.0
29,Al-Hasakeh,Quamishli,Quamishli,251490.0,61826.0,82460.0,0.0
30,Rural Damascus,Duma,Harasta,207000.0,80570.0,68641.0,6.0
31,Idleb,Al Ma'ra,Ma'arrat An Nu'man,148230.0,37450.0,48601.0,3.0
32,Aleppo,Al Bab,Al Bab,60583.0,11139.0,19989.0,6.0
33,Aleppo,Afrin,Afrin,143915.0,55575.0,46084.0,3.0
34,Aleppo,A'zaz,Suran,19765.0,4640.0,6422.0,4.0
35,Hama,As-Salamiyeh,As-Salamiyeh,136670.0,53430.0,44429.0,1.0
36,Deir-ez-Zor,Abu Kamal,Hajin,81000.0,1600.0,26444.0,6.0
37,Dar'a,Izra',Izra',56370.0,23493.0,18289.0,4.0
38,As-Sweida,As-Sweida,As-Sweida,155120.0,26750.0,50881.0,2.0
39,Deir-ez-Zor,Al Mayadin,Al Mayadin,132400.0,47200.0,43666.0,6.0
40,Quneitra,Quneitra,Quneitra,11840.0,10200.0,3959.0,6.0
41,Dar'a,As-Sanamayn,As-Sanamayn,114542.0,34205.0,37396.0,4.0
42,Deir-ez-Zor,Abu Kamal,Abu Kamal,114350.0,17040.0,36203.0,6.0
43,Dar'a,Dar'a,Mzeireb,109600.0,38735.0,36012.0,4.0
44,Tartous,Tartous,Arwad,4400.0,60.0,1425.0,1.0
45,Idleb,Al Ma'ra,Kafr Nobol,89000.0,37980.0,29196.0,1.0
46,Deir-ez-Zor,Al Mayadin,Ashara,113400.0,8440.0,37482.0,6.0
47,Idleb,Harim,Salqin,101989.0,63799.0,33766.0,6.0
48,Idleb,Ariha,Ariha,90240.0,20540.0,29842.0,5.0
49,Rural Damascus,Duma,Ghizlaniyyeh,92500.0,50040.0,31998.0,4.0
50,Idleb,Idleb,Maaret Tamsrin,100006.0,49325.0,32830.0,4.0
51,Idleb,Idleb,Saraqab,83400.0,35590.0,26816.0,5.0
52,Homs,Ar-Rastan,Talbiseh,112300.0,29250.0,36599.0,6.0
53,Al-Hasakeh,Ras Al Ain,Ras Al Ain,69520.0,4820.0,22912.0,6.0
54,Ar-Raqqa,Ar-Raqqa,Maadan,22000.0,1770.0,7215.0,6.0
55,Hama,As-Suqaylabiyah,Madiq Castle,71410.0,8840.0,23346.0,2.0
56,Aleppo,Jebel Saman,Daret Azza,82520.0,36838.0,27088.0,4.0
57,Aleppo,Afrin,Sharan,23900.0,10490.0,7781.0,4.0
58,Ar-Raqqa,Ath-Thawrah,Al-Thawrah,74000.0,4200.0,23802.0,6.0
59,Al-Hasakeh,Al-Malikeyyeh,Al-Malikeyyeh,79470.0,5355.0,25960.0,2.0
60,Aleppo,Jebel Saman,Tall Ed-daman,52832.0,6623.0,17147.0,6.0
61,Deir-ez-Zor,Deir-ez-Zor,Kisreh,90990.0,12450.0,30256.0,6.0
62,Idleb,Jisr-Ash-Shugur,Badama,56545.0,51860.0,18520.0,6.0
63,Aleppo,Menbij,Al-Khafsa,94470.0,26060.0,31179.0,6.0
64,Idleb,Al Ma'ra,Khan Shaykun,19390.0,9580.0,6294.0,6.0
65,Homs,Ar-Rastan,Ar-Rastan,71890.0,15070.0,23560.0,6.0
66,Homs,Homs,Kherbet Tin Noor,72805.0,3490.0,23847.0,1.0
67,Idleb,Ariha,Ehsem,63000.0,12910.0,20679.0,4.0
68,Hama,Hama,Hamra,25835.0,6980.0,8491.0,4.0
69,Aleppo,Jebel Saman,Zarbah,46890.0,5470.0,15738.0,6.0
70,Tartous,Banyas,Banyas,82900.0,19170.0,27388.0,4.0
71,Deir-ez-Zor,Al Mayadin,Thiban,76900.0,15010.0,25229.0,6.0
72,Hama,Masyaf,Masyaf,73500.0,12720.0,24103.0,0.0
73,Rural Damascus,Rural Damascus,Arbin,51000.0,4570.0,16761.0,6.0
74,Rural Damascus,Az-Zabdani,Madaya,51100.0,1800.0,16784.0,6.0
75,Homs,Homs,Taldu,71100.0,4350.0,23249.0,6.0
76,Hama,Muhradah,Muhradah,48115.0,8585.0,15315.0,5.0
77,Rural Damascus,Darayya,Sahnaya,60000.0,37000.0,20200.0,6.0
78,Deir-ez-Zor,Abu Kamal,Susat,75400.0,1190.0,24727.0,6.0
79,Rural Damascus,Qatana,Sa'sa',62060.0,10310.0,20602.0,2.0
80,Homs,Tall Kalakh,Nasra,57700.0,40910.0,18923.0,6.0
81,Dar'a,Izra',Jasim,58000.0,24000.0,18559.0,3.0
82,Dar'a,Izra',Nawa ,57600.0,22810.0,18782.0,2.0
83,Rural Damascus,Az-Zabdani,Sarghaya,15500.0,900.0,5070.0,5.0
84,Al-Hasakeh,Quamishli,Amuda,45260.0,14680.0,14759.0,2.0
85,Deir-ez-Zor,Deir-ez-Zor,Tabni,67750.0,10280.0,21919.0,6.0
86,Quneitra,Al Fiq,Fiq,2420.0,578.0,793.0,2.0
87,Idleb,Al Ma'ra,Sanjar,60870.0,17500.0,20002.0,4.0
88,Rural Damascus,Al Qutayfah,Jirud,30400.0,2140.0,9869.0,5.0
89,Al-Hasakeh,Al-Hasakeh,Tal Tamer,50755.0,4690.0,16560.0,2.0
90,Homs,Al-Qusayr,Al Quasir,56890.0,14360.0,18434.0,0.0
91,Ar-Raqqa,Ar-Raqqa,Karama,37550.0,3455.0,12313.0,6.0
92,Idleb,Harim,Harim,35355.0,21680.0,11977.0,5.0
93,Rural Damascus,Qatana,Bait Jan,7460.0,0.0,2447.0,6.0
94,Tartous,Safita,Safita,59620.0,19055.0,19414.0,0.0
95,Quneitra,Quneitra,Khan Arnaba,44190.0,18025.0,14431.0,1.0
96,Lattakia,Jablah,Jablah,64670.0,26055.0,20963.0,5.0
97,Hama,Hama,Harbanifse,46520.0,1480.0,15083.0,3.0
98,Aleppo,Ain Al Arab,Ain al Arab,94387.0,425.0,28350.0,6.0
99,Dar'a,Dar'a,Da'el,52000.0,19500.0,17053.0,5.0
